  日期        ,浦东   ,黄浦  ,静安  ,徐汇  ,长宁  ,普陀  ,虹口  ,杨浦  ,宝山  ,闵行  ,嘉定  ,金山  ,松江  ,青浦  ,奉贤  ,崇明  
  2022-03-22,  237,  59,  28,  85,  19,  21,  13,   3,  16, 305, 109,   4,  31,  20,   8,  19
  2022-03-23,  218,  20,  48, 106,  11,  34,  26,  11,  69, 254,  68,   5,  34,  10,  11,  54
  2022-03-24,  181, 102,  62, 165,  59,  36,  29,  20,  84, 490, 129,  12,  92,  13,  24,  82
  2022-03-25, 1883,  23,   2,   2,   4,   8,   4,  11,   4, 202,  19,   1,  14,  13,   0,  41
  2022-03-26,  322, 160, 105, 326,  27,  68,  49,  21, 147, 957, 233,   4,  79,  22,  84,  27
  2022-03-27, 1425,  55,  65, 271,  45,  66,  26,  35,  89, 599, 248,  13, 189,  43,  45, 236
  2022-03-28, 2467, 282,  94,  85, 108,  78,   4,  47, 303, 361, 207,  18,  90,  55, 115,  67
  2022-03-29, 2014, 104, 167,1066,  27, 107,  66,  96, 330, 958, 246,  24, 213,  87,  95,  54
  2022-03-30, 1958, 345,  94, 389, 120, 140,  83,  97, 503, 761, 149,  33, 238,  72, 123, 193
  2022-03-31, 2227, 114, 160, 206, 213,   9, 120, 169,  13, 333,  47,  39, 179,  94, 178,  43
  2022-04-01, 2505, 255, 178, 602,  37, 232,  58, 123,  35, 986, 191,  46, 474,  87, 159,  83
  2022-04-02, 1930, 632, 298, 998,  93, 349, 312, 255, 450, 774, 591,  60, 559, 228, 149, 110
  2022-04-03, 3514, 810, 309, 465,  90, 300, 177, 344, 435, 872, 401,  99, 257, 229, 115, 164
  2022-04-04, 6866, 962,  49,1221,  32, 250, 603, 210, 264,1370, 233,  51, 553, 313,  62,  47
  2022-04-05, 7983, 642, 290, 897,  78, 476, 402, 612, 547,2914, 470,  76, 782, 378, 142,  77
  2022-04-06, 8306,1035, 518,1088, 319,1006, 667, 618, 651,2388,1402,  76, 779, 466, 278,  63
  2022-04-07, 8743,1366, 359,2033, 823, 946, 568, 572, 405,2162, 910,  57, 644, 489,  61, 260
  2022-04-08, 6938,2566, 623,1515, 594,1073, 360, 689,2792,2792,1389,  45, 663, 318,  85, 167
  2022-04-09,10613, 447, 577,1106, 731, 629, 337,1048,2225,4536, 348,  24, 490, 548, 111, 167
  2022-04-10, 6520,1725, 574,3157, 382, 994,1232,1816,1818,3087,1334,  42,1534, 876,  27,  55
  2022-04-11, 7813,2106, 532,1723, 368,1841,1350,1390, 977,2939, 165,  35, 670, 324,  64,  51
  2022-04-12,10857,1730, 981,1052,1043,1120, 848,1099, 279,3965, 944,  35, 635, 463,  31,  57
  2022-04-13,13888,1181, 171,1349, 852, 430,1367,1131, 638,2567, 667,  22, 526, 220,  80,  56
  2022-04-14,10404,1745, 196,1049, 850, 219, 756, 768, 367,2104, 603,   5, 583, 176,  14,  30
  2022-04-15, 9140,1138, 341,1412, 519, 360,1210,1135,1249,1736, 568,  10, 575, 405,  82,  41
  2022-04-16, 9789,1377, 991,1362, 579,1186, 870, 776,1242,2170, 582,  12, 323, 259,  28,  36
  2022-04-17, 7219,1710, 715,1386, 677, 895, 900, 861,1365,2296, 622,  19, 752, 352,  19,  43
  2022-04-18, 7756,2961, 807, 504, 487, 350, 859, 416, 827,1060, 516,   4, 571, 180,  12,  21
  2022-04-19, 4926,2716,1528,1464, 564, 428, 605, 702, 916,1213, 639,   8, 266, 317,  57,  55
  2022-04-20, 3709,2845, 966,1256, 603, 506, 730,1803, 726,1395, 567,   1, 511, 160,  26,  57
  2022-04-21, 4246,1560,1914,1019, 411, 395, 781, 489, 842,2410, 696,  22, 470, 325,  20,  96
  2022-04-22, 7257,2407, 710,1152, 549, 451, 569,1268,1854,1097, 424,  26,2447, 315,   1, 103
  2022-04-23, 7085,1863, 431,1631, 658, 439, 737,1235,2751, 769, 678,  44, 741, 398,  15, 182
